criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
2.4.4,12,#menu-1-72551d7 > li:nth-of-type(3) > a,https://www.iaen.edu.ec/estudiantes/,"""ADMISIONES""",origen: texto | contexto: ADMISIONES,,REQUIERE JUICIO,,
2.4.4,13,#menu-1-72551d7 > li:nth-of-type(4) > a,https://www.iaen.edu.ec/investigacion/,"""INVESTIGACION""",origen: texto | contexto: INVESTIGACION,,REQUIERE JUICIO,,
2.4.4,14,#menu-1-72551d7 > li:nth-of-type(5) > a,https://www.iaen.edu.ec/transparencia/,"""TRANSPARENCIA""",origen: texto | contexto: TRANSPARENCIA,,REQUIERE JUICIO,,
2.4.4,15,div > div > div:nth-of-type(1) > div:nth-of-type(1) > a,https://www.iaen.edu.ec/oferta/,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,16,div > div > div:nth-of-type(1) > div:nth-of-type(2) > a,https://www.iaen.edu.ec/salud-publica/,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,17,div > div > div:nth-of-type(1) > div:nth-of-type(3) > a,https://www.iaen.edu.ec/oferta/,"""Oferta Académica 2026
Conoce en profundidad nuestros programas de form""",origen: texto | contexto: Oferta Académica 2026 Conoce en profundidad nuestros programas de formación Clic aquí,,REQUIERE JUICIO,,
2.4.4,18,div > div > div:nth-of-type(1) > div:nth-of-type(4) > a,https://4tonivel.my.canva.site/fotos,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,19,div > div > div:nth-of-type(1) > div:nth-of-type(5) > a,https://cuartonivel.com/,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,20,div > div > div:nth-of-type(1) > div:nth-of-type(6) > a,https://revistas.iaen.edu.ec/index.php/estado_comunes,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,21,div > div > div:nth-of-type(1) > div:nth-of-type(7) > a,https://www.iaen.edu.ec/seminario-de-politicas-publicas/,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,22,div > div > div:nth-of-type(1) > div:nth-of-type(8) > a,https://www.iaen.edu.ec/investigacion/,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,23,div > div > div:nth-of-type(1) > div:nth-of-type(9) > a,https://docs.google.com/forms/d/e/1FAIpQLSfZnF043tnNV18IruhL,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,24,div > div > div:nth-of-type(1) > div:nth-of-type(10) > a,https://www.iaen.edu.ec/servicios-de-bienestar-universitario,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
2.4.4,25,div > div > div:nth-of-type(1) > div:nth-of-type(11) > a,https://www.iaen.edu.ec/iaen-en-medios/,"""Clic aquí""",origen: texto | contexto: Clic aquí,,SOSPECHOSO (texto generico),,
